ref,status,description,link,url,Reference,Alternative Reference,Application Received,Application Validated,Address,Proposal,Status,Decision,Decision Issued Date,Appeal Status,Appeal Decision
S/TPO/25/1341,Application Granted,Works to Tree under reference 2015-02 T37 Oak.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T4FIPMPTJUH00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T4FIPMPTJUH00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/TPO/25/1341,PP-14423838,2025-10-20,Mon 20 Oct 2025,"Land At Parcels R8 And R9 (East And West Of Old Vicarage Lane) New Eastern Villages, South Marston Land North Of A420",Works to Tree under reference 2015-02 T37 Oak.,Application Granted,Granted Permission,2025-12-12,Not Applicable,Not Applicable
S/RES/25/1389,Application Pending Consideration,"Reserved matters application (access, appearance, layout, scale and landscaping) for 122 dwellings and associated infrastructure -Reserved Matters from previous outline permission S/OUT/13/1555.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T4N8SOPTK2400&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T4N8SOPTK2400&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/1389,PP-14303674,2025-10-27,Fri 07 Nov 2025,Parcels R1-R2 New Eastern Villages Swindon Wiltshire,"Reserved matters application (access, appearance, layout, scale and landscaping) for 122 dwellings and associated infrastructure -Reserved Matters from previous outline permission S/OUT/13/1555.",Application Pending Decision,,,Not Applicable,Not Applicable
S/OC106/25/1467,Application Pending Consideration,"Part discharge of the non-financial s106 obligation (Schedule 1, Clause 5.2) (Open space Strategy) relating to South Marston Phase 2 of outline permission S/OUT/13/1555.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T5CMP9PT0PB00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T5CMP9PT0PB00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/OC106/25/1467,Not Applicable,2025-11-04,Tue 11 Nov 2025,Land North Of A420 Eastern Villages Swindon,"Part discharge of the non-financial s106 obligation (Schedule 1, Clause 5.2) (Open space Strategy) relating to South Marston Phase 2 of outline permission S/OUT/13/1555.",Application Pending Decision,,,Not Applicable,Not Applicable
S/RES/25/1485,Application Pending Consideration,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston West electricity substation. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T5M6UMPTKOK00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T5M6UMPTKOK00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/1485,PP-14344558,2025-11-13,Thu 13 Nov 2025,Land To The North Of A420 South Marston Swindon,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston West electricity substation. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",Application Pending Decision,,,Not Applicable,Not Applicable
S/COND/25/1561,Application Pending Consideration,Partial Discharge of Conditions (11) LEAMP (13) Tree Protection (17) Bats (25) Turning Facilities (36) CMS (37) CEMP (42) Surface Water Drainage (54) Materials from previous application S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T6FO40PTL8600&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T6FO40PTL8600&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/25/1561,PP-14466517,2025-11-28,Fri 28 Nov 2025,Land North Of A420 Eastern Villages Swindon,Partial Discharge of Conditions (11) LEAMP (13) Tree Protection (17) Bats (25) Turning Facilities (36) CMS (37) CEMP (42) Surface Water Drainage (54) Materials from previous application S/OUT/13/1555.,Application Pending Decision,,,Not Applicable,Not Applicable
S/RES/25/1564,Reserved Matters Approved,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston Central electricity substation. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T6HABCPTL9500&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T6HABCPTL9500&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/1564,PP-14424663,2025-12-01,Mon 01 Dec 2025,Land North Of A420 Eastern Villages Swindon,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston Central electricity substation. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",Application Permitted,Reserved Matters Approved,2026-03-11,Not Applicable,Not Applicable
S/RES/25/1581,Application Pending Consideration,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout and scale in relation to Rowborough Primary Street and associated drainage swales and ponds. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T6MUG2PTLC900&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T6MUG2PTLC900&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/1581,PP-14499182,2025-12-03,Wed 03 Dec 2025,Land North Of A420 Known As South Marston And Rowborough Eastern Villages Swindon,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout and scale in relation to Rowborough Primary Street and associated drainage swales and ponds. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",Application Pending Decision,,,Not Applicable,Not Applicable
S/RES/25/1582,Application Pending Consideration,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston Northern electricity substation.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T6MZXAPTLCG00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T6MZXAPTLCG00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/1582,PP-14531814,2025-12-03,Wed 03 Dec 2025,"Land To The North Of The A420, Known As South Marston And Rowborough","Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston Northern electricity substation.",Application Pending Decision,,,Not Applicable,Not Applicable
S/RES/25/1614,Application Pending Consideration,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to Phase 1 of the Public Open Space within South Marston. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T709T6PTLKQ00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T709T6PTLKQ00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/25/1614,PP-13898806,2025-12-10,Wed 10 Dec 2025,Land North Of A420 Known As South Marston And Rowborough Swindon,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to Phase 1 of the Public Open Space within South Marston. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",Application Pending Decision,,,Not Applicable,Not Applicable
S/RES/26/0090,Application Pending Consideration,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston community orchard. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T9BIX2PTMY700&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T9BIX2PTMY700&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/RES/26/0090,PP-14105331,2026-01-26,Mon 26 Jan 2026,Land North Of A420 Eastern Villages Swindon,"Reserved matters application (following planning application S/OUT/13/1555) for details of the access, layout, scale, appearance and landscaping in relation to South Marston community orchard. The outline planning application was subject to and submitted with an Environmental Impact Assessment.",Application Pending Decision,,,Not Applicable,Not Applicable
S/COND/26/0106,Conditions Partially Discharged,Discharge of Conditions at South Marston Central Substation (ref: S/RES/25/1564) (11) LEAMP (17) Bats (25) Turning Facilities (36) Construction Method Statement (37) Construction Environmental Management Plan (42) Surface Water Drainage (54) Materials from previous application S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T9J78DPTN2I00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=T9J78DPTN2I00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/26/0106,PP-14515524,2026-01-27,Tue 27 Jan 2026,Land North Of A420 Eastern Villages Swindon,Discharge of Conditions at South Marston Central Substation (ref: S/RES/25/1564) (11) LEAMP (17) Bats (25) Turning Facilities (36) Construction Method Statement (37) Construction Environmental Management Plan (42) Surface Water Drainage (54) Materials from previous application S/OUT/13/1555.,Decided,Conditions Partially Discharged,2026-03-12,Not Applicable,Not Applicable
S/COND/26/0214,Application Pending Consideration,Partial Discharge of Conditions (13) Tree Protection (22) Car Parking Standards (42) Surface Water Drainage Scheme (48) Noise 2 Internal Noise Levels (49) Noise 3 Mechanical Ventilation (53) Slab Levels (54) Materials (62) Refuse Storage from previous application S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=TAK9Z9PTG2000&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=TAK9Z9PTG2000&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/26/0214,PP-14674491,2026-02-16,Mon 16 Feb 2026,Parcel 12 Land North Of A420 Eastern Villages Swindon,Partial Discharge of Conditions (13) Tree Protection (22) Car Parking Standards (42) Surface Water Drainage Scheme (48) Noise 2 Internal Noise Levels (49) Noise 3 Mechanical Ventilation (53) Slab Levels (54) Materials (62) Refuse Storage from previous application S/OUT/13/1555.,Application Pending Decision,,,Not Applicable,Not Applicable
S/COND/26/0255,Application Pending Consideration,Partial Discharge of Conditions (11) Landscape Ecology and Arboricultural Management Plan (13) Tree Protection (17) Bats (36) Construction Method Statement (37) Construction Environmental Management Plan (42) Surface Water Drainage (53) Slab Levels (54) Materials from previous application S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=TAZ3EPPTGBC00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=TAZ3EPPTGBC00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/26/0255,PP-14718733,2026-02-24,Tue 24 Feb 2026,Land North Of A420 Eastern Villages Swindon,Partial Discharge of Conditions (11) Landscape Ecology and Arboricultural Management Plan (13) Tree Protection (17) Bats (36) Construction Method Statement (37) Construction Environmental Management Plan (42) Surface Water Drainage (53) Slab Levels (54) Materials from previous application S/OUT/13/1555.,Application Pending Decision,,,Not Applicable,Not Applicable
